Heading,News,Label
पाकिस्तान में गर्मी में बाढ़ के हालात,"पाकिस्तान में इस बार गर्मियों में लू बीते वर्षों के मुकाबले समय से पहले चलने लगी है. इसकी वजह से एक ओर पाकिस्तान में लोग गर्मी की मार झेल रहे हैं, और दूसरी ओर हिमालयी क्षेत्र में ग्लेशियर पिघलने लगे हैं. इस वजह से वहां बाढ़ के हालात बन रहे हैं.",1
"शाहीन बाग़ में पहुंचा बुलडोज़र, दिल्ली की सियासत गरमाई",दिल्ली के शाहीन बाग़ में सोमवार को दिल्ली नगर निगम का बुलडोज़र पहुंचा. इसके विरोध में लोग सड़क पर उतर आए. ,1
हैदराबाद: नागराजू और आशरीन सुल्ताना की मोहब्बत की कहानी,हैदराबाद से 80 किलोमीटर दूर  नागराजू के गांव में आशरीन पहली बार आयी हैं. सपना तो नागराजू के साथ यहां आने का था जो अब कभी पूरा नहीं हो पाएगा. ,1
BPSC पेपर लीक: बिहार लोक सेवा आयोग की परीक्षा रद्द होने पर बिहार के नौजवान क्या बोले?,रविवार को आयोजित की गई बिहार लोक सेवा आयोग की 67वीं संयुक्त प्रारंभिक प्रतियोगिता परीक्षा रद्द कर दी गई है. ,1
हैदराबाद की रहने वाली क्रांति दास से आप बहुत कुछ सीख सकते हैं,हैदराबाद की रहने वाली क्रांति दास हर हफ्ते अपना सिर मुंडवा लेती हैं. उनका कहना है कि वो जहां भी जाती हैं तो लोग उनसे पूछते हैं कि क्या आपने अपने बाल भगवान को चढ़ाए हैं? ,1
धरती का वो ख़ज़ाना जिसके लिए भविष्य में छिड़ सकती है जंग,तेल और गैस इस समय पूरी दुनिया में कई विवादों की वजह बना हुआ है लेकिन आने वाले समय में ये होड़ कुछ और खनिजों के लिए भी हो सकती है. ,1
यूक्रेन में जंग से चीन को नुक़सान या फ़ायदा,"फ़रवरी से शुरू हुए यूक्रेन संकट में अमेरिका-ब्रिटेन, यूरोपीय संघ और रूस की भूमिका क्या रहेगी इसका जवाब सभी के पास था. ",1
जम्मू-कश्मीर में परिसीमन से होने वाले बदलाव और असर को जानिए,चुनाव आयोग ने जम्मू और कश्मीर को लेकर गठित परिसीमन आयोग की रिपोर्ट के बाद विधानसभा और लोकसभा सीटों को लेकर नोटिफ़िकेशन जारी कर दिया है. ,1
"तेजिंदर सिंह बग्गा: पहले पंजाब पुलिस ने गिरफ़्तार किया, फिर दिल्ली पुलिस वापस लेकर आई",दिल्ली बीजेपी के प्रवक्ता तेजिंदर सिंह बग्गा को दिल्ली पुलिस कुरुक्षेत्र से वापस लेकर आ गई है. पंजाब पुलिस ने उन्हें उनके दिल्ली स्थित घर से शुक्रवार को गिरफ़्तार किया था. 1 अप्रैल को तेजिंदर पाल सिंह बग्गा के ख़िलाफ़ पंजाब में प्राथमिकी दर्ज कराई थी जिसके बाद ये गिरफ़्तारी हुई थी.,1
मध्य प्रदेशः आदिवासियों की 'मॉब लिंचिंग' मामले में बजरंग दल का नाम क्यों आ रहा - ग्राउंड रिपोर्ट,मध्य प्रदेश सरकार ने सिवनी ज़िले में 'मॉब लिंचिंग' यानी भीड़ के हाथों मारे गए दो आदिवासियों के परिजनों को एक-एक नौकरी और आठ लाख 25 हज़ार रूपए बतौर मुआवज़ा देने की घोषणा की है. इसके अलावा घटना में घायल व्यक्ति को भी मुआवज़ा देने की घोषणा की गई है.,1
"राजस्थान: अशोक गहलोत के घर के पास उन्माद, क्या है चुनावी बिसात?",एक महीने के अंतराल में राजस्थान में दो अलग-अलग जगह साम्प्रदायिक हिंसा हुई. ,1
यूक्रेन युद्ध के बाद रूसी नागरिक दुबई क्यों जा रहे हैं,यूक्रेन युद्ध के बाद रूस पर लगे आर्थिक प्रतिबंधों से जूझते रूसी अरबपतियों के लिए दुबई एक जन्नत के रूप में उभर रहा है. ,1
"पुतिन की सबसे ख़ास बैंकर एलवीरा नबीउल्लीना, जो अपने कपड़ों से बता देती हैं 'मन की बात'",वो 20 साल से व्लादिमीर पुतिन के साथ हैं.,1
यूक्रेन पर हमले से ठीक पहले पुतिन और जिनपिंग के बीच हुई थी ये डील,रूस और यूक्रेन के बीच युद्ध शुरू हुए दो महीने से ज़्यादा का समय बीत चुका है. इस बीच ब्रिटेन और अमेरिका समेत कई पश्चिमी देशों ने रूस पर कड़े आर्थिक प्रतिबंध लगाए हैं. ,1
रिंकू सिंह: अलीगढ़ में पोछा लगाने की नौकरी से IPL में पहुँचने तक,"आम तौर पर लोग जीवन में या फिर काम धंधों में विकल्पों की बात करते हैं, लेकिन जिनके पास कोई विकल्प नहीं होता वे क्या करते हैं? ",1
रवींद्र जडेजा के कप्तानी छोड़ने और अपनी वापसी पर खुलकर बोले धोनी,रविवार को आईपीएल में दो मैच खेले गए. दोनों में ख़ूब चौके छक्के लगे. बड़ा स्कोर बना. ,1
एलन मस्क की टेस्ला 15 सालों में कैसे दुनिया की टॉप कंपनियों में हुई शामिल?,टेस्ला के मालिक एलन मस्क सोशल मीडिया कंपनी ट्विटर खरीदना चाहते हैं और इस कारण लगातार सुर्खियों में बने हुए है. इसके लिए उन्होंने 43 अरब डॉलर की पेशकश की है. ,1
अरुण लाल: 66 की उम्र में शादी कर रहे पूर्व क्रिकेटर की होने वाली दुल्हन कौन हैं,पूर्व क्रिकेटर और बंगाल क्रिकेट टीम के कोच अरुण लाल 66 साल की उम्र में अपने वैवाहिक जीवन की दूसरी पारी शुरू करने वाले हैं. ,1
हनुमान चालीसा विवादः क्या नवनीत राणा बीजेपी और शिवसेना के लिए राजनीतिक मोहरा हैं?,मुंबई के एक सेशन कोर्ट ने बीते मंगलवार नवनीत राणा और रवि राणा की ज़मानत याचिका पर मुंबई पुलिस को 29 अप्रैल तक अपना जवाब दाखिल करने को कहा है. अमरावती से सांसद नवनीत राणा और बडनेरा से विधायक उनके पति रवि राणा ने कुछ दिन पहले महाराष्ट्र के मुख्यमंत्री उद्धव ठाकरे के निजी आवास मातोश्री के सामने हनुमान चालीसा पढ़ने का एलान किया था. ,1
आज का कार्टून: पौराणिक पार्किंग,"(बीबीसी हिन्दी के एंड्रॉएड ऐप के लिए आप यहां क्लिक कर सकते हैं. आप हमें फ़ेसबुक, ट्विटर, इंस्टाग्राम और यूट्यूब पर फ़ॉलो भी कर सकते हैं.)",1
"चीन ने की इस छोटे से देश से डील, उड़ी अमेरिका, ऑस्ट्रेलिया, न्यूज़ीलैंड की नींद","चीन ने सोलोमन आइलैंड्स के साथ एक सुरक्षा समझौता किया है जिसे लेकर ऑस्ट्रेलिया, न्यूज़ीलैंड और अमेरिका ने चिंता प्रकट की है. ",1
इस शहर की सड़कों पर क्यों दिखाई देने लगे हैं मगरमच्छ,अगर आप घर से कहीं जाने के लिए निकलें हों और रास्ते में आपको मगरमच्छ दिख जाए तो... ब्राज़ील के रियो डी जेनेरो में तब लोगों के होश उड़ गए जब उन्हें बस टर्मिनल पर घूमता हुआ एक मगरमच्छ दिखा. ,1
लियाक़त-नेहरू समझौता: जब पाकिस्तान और भारत ने अल्पसंख्यकों की रक्षा की ठानी,"""साल 1947 में ब्रिटिश भारत के विभाजन से पहले, 30 प्रतिशत से भी अधिक मुस्लिम आबादी वाले पश्चिम बंगाल का प्रमुख शहर कलकत्ता (कोलकाता), उतना ही मुसलमानों का शहर था जितना हिन्दुओं का था.""",1
मुगल सम्राट अकबर या गौड़ हिंदू राजा शशांक: किसने की थी बांग्ला कैलेंडर की शुरुआत,आरएसएस और उसके सहयोगी संगठनों ने पश्चिम बंगाल में इस आशय का एक जोरदार प्रचार और 'जागरूकता अभियान' शुरू किया है कि मुगल सम्राट अकबर नहीं बल्कि गौड़ राजवंश के प्राचीन हिंदू राजा शशांक ने बांग्ला वर्ष या 'बांग्ला कैलंडर' की शुरुआत की थी.,1
नरेंद्र मोदी के यूरोप दौरे को विश्लेषक कैसे देख रहे हैं?,प्रधानमंत्री नरेंद्र मोदी तीन दिवसीय यूरोप दौरे के बाद देश लौट आए हैं. भारत के विदेश मंत्रालय ने कहा है कि प्रधानमंत्री के इस दौरे से यूरोप के साथ सहयोग की भावना मज़बूत हुई है.,1
"तेजिंदर बग्गा की गिरफ़्तारी में कैसे उलझीं पंजाब, हरियाणा और दिल्ली पुलिस- पूरा घटनाक्रम",दिल्ली बीजेपी के नेता तेजिंदर पाल सिंह बग्गा की गिरफ़्तारी को लेकर तीन राज्यों की पुलिस उलझ गई है.,1
"इंडिगो मामलाः विकलांग बच्चे के पिता ने बताया, क्या हुआ था रांची एयरपोर्ट पर","""वो 7 मई की शाम थी. मैं बोकारो में रह रही अपनी 76 साल की कैंसर पीड़िता मां से मिलकर हैदराबाद की फ्लाइट लेने रांची एयरपोर्ट पहुंचा था. मेरे साथ मेरी पत्नी अपर्णा और 12 साल का बेटा अर्णब भी थे. अर्णब डिफरेंटली एबल्ड बच्चा है. इसलिए हमें उसका ख़ास ख़्याल रखना होता है. वो कम बोलता है, चल नहीं पाता, आँखों की रोशनी भी कम है.""",1
BPSC की परीक्षा रद्द होने का दर्द इन लड़कियों से समझिए,"'मैं बीपीएससी परीक्षा को लेकर आवेदन के समय से ही बहुत उत्साहित थी, लेकिन इस लीक से मुझे धक्का लगा. मेरा भरोसा टूट गया है कि अब मैं इस परीक्षा को मेधा के दम पर पास भी कर सकती हूँ या नहीं.'' ",1
"श्रीलंका में अराजक स्थिति, हिंसक विरोध-प्रदर्शन",भारत के पड़ोसी देश श्रीलंका में हालात काबू में आने की बजाए और ख़राब होते जा रहे हैं. ये देश आर्थिक और राजनीतिक संकट से जूझ रहा है. ,1
"महबूबा मुफ्ती ने ताजमहल, लाल किला को लेकर उठे विवाद पर मोदी सरकार पर उठाए सवाल",जम्मू-कश्मीर की पूर्व मुख्यमंत्री और पीपुल्स डेमोक्रेटिक पार्टी (पीडीपी) की प्रमुख महबूबा मुफ़्ती ने कहा है कि केंद्र की बीजेपी सरकार लोगों को नौकरी देने में नाकाम रही है. ,1
अभिनेता जॉनी डेप और उनकी पूर्व पत्नी एंबर हर्ड एक दूसरे पर क्या आरोप लगा रहे हैं?,हॉलीवुड अभिनेता जॉनी डेप और उनकी पूर्व पत्नी एंबर हर्ड का कोर्ट केस इन दिनों पूरी दुनिया में सुर्ख़ियों में है. कोर्ट में दोनों ने ही एक दूसरे पर हिंसा के गंभीर आरोप लगाए हैं. ,1
श्रीलंका में भड़की हिंसा और आगजनी के बाद जानिए अब कैसा है माहौल,श्रीलंका में गहरे आर्थिक संकट के बीच सरकार विरोधी विरोध-प्रदर्शन के दौरान कई जगहों पर भीषण आगजनी हुई. ,1
रूस-यूक्रेन युद्ध का माउंट एवरेस्ट जाने वालों पर क्या असर पड़ रहा - ग्राउंड रिपोर्ट,"आंग सारकी शेरपा का काम दुनिया के सबसे जोख़िम भरे कामों में से एक है, लेकिन वो तमाम जोख़िमों से जूझते हुए अपने काम में लगे रहते हैं. ",1
"इंदौर: 'प्रेमिका से मिले धोखे' की वजह से शख़्स ने लगाई थी आग, सात लोगों की हुई थी मौत",मध्य प्रदेश के इंदौर में स्वर्णबाग कॉलोनी की बिल्डिंग में आग लगाने वाले अभियुक्त ने गिरफ्तारी के बाद सनसनीखेज दावा किया है. ,1
अरविंद केजरीवाल ने बिजली सब्सिडी लोगों के पाले में क्यों डाली -प्रेस रिव्यू,"दिल्ली सरकार ने गुरुवार को एलान किया कि एक अक्तूबर से दिल्ली में केवल उन्हीं लोगों को मुफ़्त बिजली मिलेगी, जो लेना चाहेंगे.",1
"'गधा हमेशा गधा ही रहता है', अपने बारे में ऐसा क्यों बोले इमरान ख़ान?","पाकिस्तान के पूर्व प्रधानमंत्री इमरान ख़ान सोशल मीडिया पर ख़ूब ट्रोल हो रहे हैं. वजह है उनका ऐसा बयान, जिसमें उन्होंने बातों-बातों में अपनी तुलना गधे से कर डाली. ",1
चीन की सीपीईसी परियोजना में हो रही देरी से क्यों बेचैन है पाकिस्तान?,बीते माह पाकिस्तान के कराची शहर में तीन चीनी नागरिकों की हत्या के बाद से दोनों देशों के रिश्ते पहले की तरह नहीं रहे हैं. पाकिस्तान के सीनेट डिफ़ेंस कमेटी ने माना है कि इस हमले के बाद चीन का भरोसा हिल गया है.,1
पाकिस्तान में ऑनर किलिंग: मॉडलिंग से नाख़ुश छोटे भाई ने बहन को गोली मारी, भारत के दक्षिणी शहर हैदराबाद में हुई ऑनर किलिंग की तरह ही पाकिस्तान के पंजाब प्रांत के ओकरा में एक युवा फ़ैशन मॉडल सिदरा खालिद की हत्या भी उनके छोटे भाई हमज़ा खालिद ने कर दी. हमज़ा पर ऑनर किलिंग के नाम पर सिदरा को गोली मारने का आरोप है.,1
अजीत: ‘सारा शहर मुझे लायन के नाम से जानता है’,"अजीत के बारे में कहा जाता है कि उन्होंने 70 के दशक में भारतीय सिनेमा में खलनायक की छवि को पूरी तरह से बदल कर रख दिया. ये शख्स शिष्ट था, पढ़ा-लिखा था  सूट और सफ़ेद जूते पहनता था और उसकी क्लार्क गेबल्स स्टाइल की मूछें हुआ करती थीं. ",1
विदेश मंत्री एस जयशंकर आजकल इतना 'तीखा' क्यों बोल रहे हैं,विदेश मंत्री एस जयशंकर के पिता के सुब्रमण्यम को भारत की कूटनीति का भीष्म पितामह कहा जाता है. ,1
टाइटैनिक डूबने के 110 साल के बाद भी कायम हैं ये चार रहस्य,ठीक 110 साल पहले टाइटैनिक एक अंधेरी रात के वक्त एक आइसबर्ग (हिमखंड) से टकरा गया था. उस वक्त अधिकांश यात्री नींद के आगोश में थे.,1
ताजमहल को लेकर हाईकोर्ट में पेश याचिका में 22 कमरों को लेकर क्या कहा गया है,"सोमवार को इलाहाबाद हाईकोर्ट की लखनऊ बेंच में एक याचिका दायर हुई है, जिसमें मांग की गई है कि ताजमहल के ऊपरी और निचले हिस्से में बंद क़रीब 22 कमरे खुलवाए जाएं. याचिका में यह माँग भी की गई है कि पुरातत्व विभाग को उन बंद कमरों में मूर्तियों और शिलालेखों की खोज करने का भी आदेश दिया जाए.",1
पंजाब में हुए RPG हमले को 'गेम चेंजर' क्यों बताया जा रहा है?,पंजाब पुलिस के कुछ अधिकारियों का मानना है कि पंजाब में खुफ़िया मुख्यालय पर हमला विशेष चिंता का विषय है क्योंकि यह पहला रॉकेट प्रोपेल्ड ग्रेनेड हमला है और हमलावरों के लिए यह गेम चेंजर हो सकता है.   ,1
खरगोन में 'बुलडोज़र' अभियान से मुसलमान और हिंदू दोनों नाख़ुश - ग्राउंड रिपोर्ट,सुबह के आठ बजे का वक़्त है और खरगोन की सड़कों पर एक-एक कर लोग नज़र आने लगे हैं. इस महीने की 10 तारीख़ को रामनवमी के जुलूस के बाद भड़की हिंसा और सांप्रदायिक तनाव को काबू करने के लिए शहर के कई हिस्सों में कर्फ्यू लगा दिया गया था. ,1
पीएम मोदी जिस समय जम्मू में थे उस समय पाकिस्तान में क्या हो रहा था,"अगस्त साल 2019 में, आर्टिकल 370 हटाए जाने के बाद भारत के प्रधानमंत्री नरेंद्र मोदी पहली बार, रविवार को जम्मू दौरे पर पहुँचे. बीते रविवार अपने दौरे के दौरान उन्होंने जम्मू और कश्मीर के विकास के लिए 20 हज़ार करोड़ रुपये के प्रोजेक्ट्स का लोकार्पण और शिलान्यास किया. ",1
गॉर्डन ग्रीनिज: पीठ पर खाद का बोरा ढोने वाला जो बना दुनिया का सबसे विस्फ़ोटक ओपनर,क्रिकेट की दुनिया ने एक से बढ़कर एक विस्फ़ोटक बल्लेबाज़ देखे हैं और उन बल्लेबाज़ों के सामने दुनिया भर के गेंदबाज़ कंपकंपाते रहे.,1
बनारस: ज्ञानवापी मस्जिद निरीक्षण के दो दिनों में क्या-क्या हुआ?,ज्ञानव्यापी मस्जिद में ज़िला अदालत के आदेश पर हो रहे एडवोकेट कमिश्नर के निरीक्षण में कानूनी अड़चनें आने लगी हैं. ,1
दक्षिण कोरिया की नई सरकार और उत्तर कोरियाई शासक किम जोंग-उन में टकराव की आशंका,कोरिया प्रायद्वीप के बदले हालात में उत्तर कोरिया के नेता किम जोंग-उन अपने हथियारों को नई धार देने में जुट गए हैं. ,1
IPL: मोहम्मद शमी लंबे समय तक ये छक्का नहीं भूल पाएंगे,क्रिकेट का रोमांच यही है कि एक लो स्कोरिंग मैच भी पल में यादगार मैच में तब्दील हो जाता है.,1
लिथियम आयन बैटरी कैसे दुनिया को बचा सकती है,पूरी दुनिया में कार्बन उत्सर्जन पर काबू करने की जद्दोजहद चल रही है. ,1
वीर महान: WWE में हलचल मचाने वाले रेसलर कौन हैं,"एक समय था, भारत में क्रिकेट के साथ WWE और WWF शो काफ़ी लोकप्रिय थे.  ",1
वाराणसी की ज्ञानवापी मस्जिद और माँ शृंगार देवी से जुड़े निरीक्षण का मामला क्या है?,वाराणसी की ज्ञानवापी मस्जिद एक बार फिर चर्चा में है. वहाँ अदालत की ओर से नियुक्त वकीलों की एक टीम शुक्रवार को निरीक्षण के लिए पहुँची जिसका विरोध हो रहा है. आइए समझते हैं कि क्या है ये पूरा मामला?  ,1
"रूस का यूएन में बदला रुख़, लेकिन 'आगे क्या' के लिए निगाहें अब 'विक्ट्री डे' परेड पर",संयुक्त राष्ट्र सुरक्षा परिषद के बाक़ी 14 सदस्यों के साथ रूस ने शुक्रवार को पहली बार सुर में सुर मिलाते हुए 'यूक्रेन की शांति और सुरक्षा बनाए रखने पर गहरी चिंता' ज़ाहिर की है. ,1
"मध्य प्रदेशः आसिफ़ और साक्षी ने प्रेम विवाह किया, प्रशासन ने आसिफ़ का घर तोड़ दिया",आसिफ़ और साक्षी एक दूसरे से मोहब्बत करते थे. उन्हें यह मालूम ही रहा होगा कि समाज उनके प्यार को स्वीकार नहीं करेगा. लेकिन इस बीच प्रशासन ने आसिफ़ का घर तोड़ दिया.,1
बिहार में बीपीएससी का पेपर कब और कैसे लीक हुआ? ग्राउंड रिपोर्ट,वॉट्सऐप पर वायरल होता बिहार लोकसेवा आयोग का पेपर.,1
IPL: DRS ना होने पर कइयों का फूटा ग़ुस्सा पर धोनी का रुख़ रहा बिल्कुल अलग,मुंबई से हार कर चेन्नई की टीम भले ही प्लेऑफ़ की रेस से बाहर हो गई है लेकिन इस मैच के पहले ओवर ने एक बार फिर आईपीएल को विवादों में लपेट लिया है.,1
उज्ज्वला योजना: 90 लाख लाभार्थियों ने दोबारा सिलिंडर नहीं भरवाया- प्रेस रिव्यू,नरेंद्र मोदी सरकार की प्रमुख कल्याणकारी योजनाओं में से एक प्रधानमंत्री उज्जवला योजना के 90 लाख लाभार्थियों ने बीते वित्त वर्ष में कभी दोबारा सिलिंडर भरवाया ही नहीं.,1
श्रीलंका संकट से क्या सीख सकता है भारत,भारत और श्रीलंका के बीच यूं तो तुलना नहीं की जा सकती. अर्थव्यवस्था के लिहाज से श्रीलंका बहुत ही छोटा मुल्क है और आबादी भी भारत की तुलना में बहुत कम है. ,1
सऊदी अरब की शान अरामको जिसकी अमीरी में समा जाएँगे कई देश,सऊदी अरब की सरकारी तेल कंपनी अरामको 2.463 ट्रिलियन डॉलर के मार्केट कैप (बाज़ार पूंजी) के साथ दुनिया की सबसे बड़ी कंपनी बन गई.,1
"रनिल विक्रमसिंघे को मिला श्रीलंका को संकट से निकालने का ज़िम्मा, छठी बार बने प्रधानमंत्री",छठी बार प्रधानमंत्री बनने वाले रनिल विक्रमसिंघे श्रीलंका की राजनीति में एक अहम स्थान रखते हैं. ,1
"ज्ञानवापी मस्जिद के सर्वे पर आया अदालत का फ़ैसला, क्या होगा आगे?",वाराणसी की ज़िला अदालत ने ज्ञानवापी मस्जिद में सर्वे की इजाज़त दे दी है. अदालत ने सर्वे के लिए दो वकीलों को कमिश्नर के तौर पर नियुक्त किया है. इस टीम को 17 मई तक रिपोर्ट सौंपने का समय दिया गया है. ,1
अमेरिकी राष्ट्रपति जो बाइडन के बेटे हंटर के लैपटॉप से निकले 'राज़' और उसका सच- दुनिया जहान,ये साल 2020 के अक्टूबर का महीना था. अमेरिका में राष्ट्रपति चुनाव में सिर्फ़ तीन हफ़्ते बाक़ी थे. मुक़ाबला डोनाल्ड ट्रंप और जो बाइडन के बीच था. ,1
ताज महल के 22 कमरों की याचिका पर हाईकोर्ट में क्या कुछ हुआ,इलाहाबाद हाईकोर्ट की लखनऊ बेंच ने ताजमहल के 22 बंद दरवाज़ों को खोलने की मांग वाली याचिका को गुरुवार को ख़ारिज कर दिया. कोर्ट ने कहा कि हम ऐसी याचिका पर विचार नहीं कर सकते.,1
इसराइली मीडिया में अल-जज़ीरा की रिपोर्टर शिरीन अबू के मारे जाने पर क्या कहा जा रहा,फ़लस्तीनी मूल की अमेरिकी पत्रकार शिरीन अबू अक़लेह की दुखद मौत के बाद इसराइली मीडिया में ऐसी अटकलें तेज़ हो गई हैं कि इससे बदले के लिए हमलों में बढ़ोतरी होगी और इससे इसराइल को कूटनीतिक स्तर पर भी नुक़सान झेलना पड़ सकता है.,1
श्रीलंका: महिंदा राजपक्षे ने नौसैनिक अड्डे को अपना ठिकाना क्यों बनाया,गंभीर आर्थिक संकट के बीच जारी विरोध प्रदर्शन कर रहे उपद्रवियों को देखते ही गोली मारने के आदेश के साथ श्रीलंका सरकार ने देश भर में सुरक्षा बलों को तैनात किया है.,1
मोहाली धमाका क्या पंजाब के लिए ख़तरे का संकेत है?,पंजाब के मोहाली में पुलिस के इंटेलिजेंस हेडक्वॉर्टर पर सोमवार रात को हुए हमले में हमलावारों ने जिस लॉन्चर से रॉकेट को दागा था उसे पुलिस ने रिकवर कर लिया है. ,1
"यूक्रेन से लड़ता रूस आर्थिक मोर्चे पर कितना मज़बूत, क्यों देश छोड़ रहे हैं लोग?",यूक्रेन पर हमले के बाद से रूस आर्थिक पतन को रोकने में कामयाब रहा है. फरवरी से शुरू हुए पश्चिमी देशों के लगाए प्रतिबंधों से रूस को काफी नुकसान हुआ है. ,1
राजद्रोह क़ानून की समीक्षा पूरी होने तक कोई नई FIR नहीं : सुप्रीम कोर्ट,"हनुमान चालीसा का पाठ, भारत-पाकिस्तान मैच में पाकिस्तान ज़िंदाबाद का नारा, सोशल मीडिया पर पोस्ट या फिर कोई कार्टून- ये कुछ ऐसे काम है जिन्हें हाल के दिनों में अलग-अलग राज्य सरकारों ने राजद्रोह क़ानून में मुक़दमा दायर करने का आधार बनाया. ",1
मैरिटल रेप पर हाई कोर्ट के बँटे हुए फ़ैसले से पीड़ितों में जगी उम्मीद,मैरिटल रेप को अपराध घोषित किए जाने वाली याचिकाओं पर सुनवाई करते हुए दिल्ली हाई कोर्ट की दो सदस्यीय बेंच ने बंटा हुआ फैसला सुनाया है और कहा है कि याचिकाकर्ता सुप्रीम कोर्ट का रुख कर सकते हैं. ,1
"हैप्पी बर्थ डे मंटो, तुम हमारे दिलों में ज़िंदा रहो: ब्लॉग",सआदत हसन मंटो का जन्मदिन है. उस मंटो का जो 43 साल की उम्र में खून थूकते और पागल खानों के चक्कर लगाते इस दुनिया को अलविदा कह गया था.,1
"रूस के विक्ट्री डे की वो तस्वीरें, जिनसे उसकी ताक़त ज़ाहिर होती है",पिछले कुछ सालों से रूस में 9 मई को मनाए जाने वाले विजय दिवस ने एक वार्षिक कार्यक्रम का दर्जा हासिल कर लिया है. ,1
पीएम नरेंद्र मोदी का जर्मनी में ऐसे हुआ स्वागत,भारतीय प्रधानमंत्री नरेंद्र मोदी तीन दिन के यूरोप दौरे पर सबसे पहले जर्मनी पहुंचे हैं. बर्लिन में उनका कैसा स्वागत हुआ आइए देखते हैं.,1
भारत में क्या कर रहे म्यांमार के विद्रोही?,म्यांमार में जब से तख़्ता पलट करके सैन्य सरकार ने सत्ता पर कब्ज़ा किया है. ,1
श्रीलंका के हालात पर राष्ट्रपति गोटाबाया राजपक्षे ने क्या कहा?,श्रीलंका के राष्ट्रपति गोटाबाया राजपक्षे ने कहा है कि वे एक सप्ताह के भीतर नया मंत्रिमंडल नियुक्त करेंगे.,1
सआदत हसन मंटो के बारे में पाकिस्तान के छात्रों की राय,"सआदत हसन मंटो की गिनती उन लेखकों में होती है, जिनके बारे में ये माना जाता है कि उनकी कलम आग उगलती थी. ",1
पाकिस्तान का वो शख़्स जिससे मोर भी शर्माते हैं,मास्टर ग़ुलाम हुसैन पाकिस्तान में सिंध के जमशोरो के रहने वाले हैं. हुसैन पाकिस्तान और दूसरे देशों में बीते दस साल से पारंपरिक सिंधी संगीत पर मोर नृत्य कर रहे हैं. ,1
"बेटी को ससुराल से मारपीट कर, घसीटकर ले गए परिवार के लोग",ये घटना महाराष्ट्र के अंबाडा की है. जहां एक लड़की को उसके ही घरवाले घसीटकर ससुराल से वापस ले गए. लड़की ने अंतर-जातीय विवाह किया था और उसके परिवारवाले इस शादी के ख़िलाफ़ थे. ,1
अगर वजाइनल डिस्चार्ज ज़्यादा हो तो क्या दिक्कतें हो सकती हैं?,क्या आप जानती हैं कि आपका वजाइनल डिस्चार्ज इन्फेक्शन को रोकने में मदद करता है? ,1
